Wild Fall Chinook,Hatchery Fall Chinook,Wild Coho,Hatchery Coho
283,267,291,285
283,267,291,285
283,267,291,285
283,267,291,285
283,267,291,285
283,267,291,285
283,267,291,285
283,267,292,285
283,267,292,285
283,267,292,285
283,267,292,286
283,267,292,286
283,267,292,286
283,267,292,286
283,267,292,286
284,267,292,286
284,267,292,286
284,267,292,286
284,267,292,287
284,267,292,287
284,267,292,287
284,267,292,287
284,267,292,287
284,267,292,287
284,267,293,287
284,267,293,287
284,267,293,287
284,267,293,287
284,267,293,287
284,267,293,287
284,267,293,287
284,267,293,287
284,267,293,287
284,267,293,287
284,267,294,287
284,267,294,287
284,267,294,287
284,267,294,287
285,267,294,287
285,267,294,287
285,267,294,288
285,267,294,288
285,267,294,288
285,267,294,288
285,267,294,288
285,267,294,288
285,267,294,288
285,267,294,288
285,267,294,288
285,267,294,288
285,267,294,288
285,267,295,288
285,267,295,288
285,267,295,288
285,267,295,288
286,267,295,288
286,267,295,288
286,267,295,288
286,267,295,288
286,267,295,288
286,267,295,288
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,289
286,267,295,290
286,267,295,290
286,267,295,290
286,267,295,290
286,267,295,290
286,267,295,290
286,267,295,290
286,267,295,290
286,268,295,290
286,268,295,290
286,268,295,290
286,268,295,290
286,268,295,290
286,268,295,290
286,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
287,268,295,290
288,268,296,290
288,268,296,290
288,268,296,290
288,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
289,268,296,290
290,268,296,290
290,268,296,290
290,268,296,290
290,268,296,290
290,268,296,290
290,268,296,290
290,268,296,290
290,268,296,290
290,269,296,290
290,269,296,291
290,269,296,291
290,269,296,291
290,269,296,291
290,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
291,269,296,291
