Wild Summer Chinook,Wild Fall Chinook,Hatchery Spring Chinook,Hatchery Winter Steelhead,Wild Coho,Hatchery Coho
238,269,143,004,288,265
238,269,143,004,288,265
238,269,143,004,288,265
238,269,144,004,288,265
238,269,144,004,288,266
238,269,144,004,288,266
238,269,144,004,288,266
238,269,144,004,288,266
239,269,144,004,288,267
239,269,144,004,288,268
239,269,145,004,288,268
239,269,145,004,288,269
239,269,145,004,288,269
239,269,145,004,288,269
239,269,145,004,288,269
239,269,145,004,288,269
239,269,145,004,288,269
239,269,145,004,288,269
239,269,145,004,288,270
239,269,146,004,288,270
239,269,146,004,288,271
239,269,147,004,288,273
239,269,147,004,288,273
239,269,147,004,288,273
239,269,147,004,288,274
239,270,148,004,288,274
239,270,148,004,288,274
239,270,148,004,288,274
239,270,148,004,288,274
239,270,148,004,288,274
239,270,148,004,288,274
239,270,148,004,288,274
239,270,148,004,288,274
239,270,148,004,288,274
239,270,148,004,288,274
239,270,149,004,288,274
239,270,149,004,288,274
239,270,149,004,288,274
239,270,149,005,288,274
239,270,149,005,288,274
241,270,149,005,288,274
241,270,149,005,288,274
241,270,149,005,288,274
241,270,149,005,288,274
241,270,149,005,288,274
241,270,149,005,288,274
241,270,150,005,288,274
241,270,150,005,288,274
241,270,150,005,288,275
241,270,150,005,288,275
241,271,150,005,288,275
241,271,151,005,288,275
241,271,151,005,288,275
241,271,151,005,288,275
241,271,151,005,288,275
241,271,152,005,290,276
241,271,152,005,290,276
241,271,152,005,290,276
241,271,152,005,290,276
241,271,152,005,291,276
241,271,152,005,291,276
241,271,152,005,291,276
241,271,152,005,291,276
241,271,152,005,291,276
241,271,152,005,294,276
241,271,152,005,294,276
241,271,152,005,294,276
241,271,152,005,294,276
241,271,152,005,294,277
241,271,152,005,294,277
241,272,152,005,294,277
241,272,152,005,296,277
241,272,152,005,296,277
241,272,152,005,296,277
241,272,152,005,296,277
241,272,152,005,296,277
241,272,152,005,296,277
241,272,152,005,296,277
241,272,152,005,296,277
241,272,152,005,297,277
241,272,152,005,297,278
241,272,152,005,297,278
241,272,152,005,297,279
241,272,152,005,297,279
241,272,153,005,297,279
241,272,153,005,297,279
241,272,153,005,297,279
241,272,153,005,297,279
241,272,153,005,297,279
241,272,153,005,297,279
241,272,153,005,297,279
241,272,153,005,297,279
241,272,153,005,297,279
241,272,153,005,297,280
242,272,153,005,297,280
242,272,153,005,297,280
242,272,153,005,297,281
242,272,153,005,297,281
242,272,153,005,297,281
242,272,153,005,297,281
242,272,153,005,297,282
242,272,154,005,297,282
242,272,154,005,297,282
242,272,154,005,297,282
242,272,154,005,297,282
242,272,154,005,297,282
242,272,154,005,297,282
242,272,154,005,297,282
242,272,154,005,297,283
242,272,155,005,297,283
242,272,155,005,297,284
242,272,155,005,297,284
242,272,155,005,297,284
242,272,155,005,297,284
242,272,155,005,297,284
243,272,155,005,297,284
243,272,155,005,297,284
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,272,155,005,297,285
243,273,156,005,297,285
