Hatchery Fall Chinook,Wild Coho,Hatchery Coho,Wild Late Chum,Hatchery Late Chum
243,272,273,005,335
243,272,273,005,336
243,272,273,005,336
243,272,273,005,336
243,272,273,005,336
243,272,273,005,336
243,272,273,005,336
243,272,273,005,336
243,272,273,005,336
243,272,273,005,336
243,272,273,005,336
244,272,273,005,336
244,272,273,005,336
244,272,273,005,336
244,272,273,005,338
244,272,273,005,338
244,272,273,005,338
244,272,273,005,338
244,272,273,005,338
244,272,273,005,338
244,272,273,005,338
244,272,273,005,339
244,272,273,005,339
244,272,273,005,339
244,272,273,005,339
244,272,273,005,339
244,272,273,005,339
244,273,273,005,340
244,273,273,005,340
244,273,273,005,340
244,273,273,005,340
244,273,273,005,340
244,273,273,005,341
244,273,273,005,341
244,273,273,005,341
244,273,273,005,341
244,273,273,005,341
244,273,273,005,341
244,273,273,005,341
244,273,273,005,342
244,273,273,005,342
244,273,273,005,342
244,273,273,005,342
244,273,273,005,342
244,273,273,005,342
244,273,273,005,342
244,273,273,005,342
244,273,273,005,342
244,273,273,005,342
244,273,273,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,274,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,342
244,273,275,005,343
244,273,275,005,343
244,273,275,005,343
244,273,275,006,343
244,273,275,006,343
244,273,275,006,343
244,273,275,007,343
244,273,275,007,343
244,273,275,007,343
244,273,275,008,343
244,273,275,008,343
244,273,275,008,343
245,273,275,008,343
245,273,275,010,343
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,010,344
245,273,275,013,344
245,273,275,013,344
245,273,275,013,344
245,273,275,015,344
245,273,275,017,344
245,273,276,017,344
245,273,276,021,344
245,273,276,023,344
245,273,276,027,345
245,273,276,029,345
245,273,276,313,345
245,274,276,313,345
245,274,276,313,345
245,274,276,313,345
245,274,276,319,345
245,274,276,330,346
245,274,276,330,346
245,275,276,330,346
246,275,276,330,346
246,275,276,331,346
246,275,276,331,346
246,275,276,331,346
246,275,276,332,346
246,275,276,333,346
246,275,276,333,346
247,275,276,333,346
247,275,276,333,346
247,275,276,333,346
247,275,276,333,346
247,275,276,333,346
247,275,276,333,346
247,275,276,333,346
247,275,276,333,348
248,275,276,333,348
248,275,276,333,348
248,275,276,333,348
248,275,276,333,348
248,275,276,333,348
248,275,277,333,348
248,275,277,333,348
248,275,277,333,348
248,275,277,333,348
248,276,277,333,349
248,276,279,333,349
248,276,279,333,349
248,276,279,334,349
248,276,279,334,349
248,276,279,334,349
248,276,279,334,349
248,276,279,334,349
248,276,279,334,349
248,276,279,334,349
248,276,279,335,349
248,277,279,335,349
248,277,279,335,349
249,277,279,335,350
249,279,279,335,350
249,279,279,335,350
249,279,279,335,350
249,280,279,335,350
249,280,279,335,350
249,280,279,335,350
249,280,279,335,351
249,280,279,335,351
249,280,279,335,351
249,280,279,335,351
249,280,279,335,351
249,280,279,335,351
