Wild Fall Chinook,Hatchery Fall Chinook,Hatchery Summer Steelhead,Hatchery Winter Steelhead
263,265,007,006
263,265,007,006
263,265,007,006
263,265,007,006
263,265,007,006
263,265,007,006
263,265,007,006
263,265,007,006
263,265,007,006
263,265,007,007
263,265,007,007
263,265,007,007
263,265,007,007
263,265,007,007
263,265,007,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,008,007
263,265,009,007
263,265,009,007
263,265,009,007
263,265,009,007
263,265,009,007
263,265,009,007
263,265,009,007
263,265,009,007
263,265,009,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,010,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,011,007
263,265,012,007
263,265,012,007
263,265,012,007
263,265,012,007
263,265,012,007
263,265,012,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,013,007
263,265,014,007
263,265,014,007
263,265,014,007
263,265,014,007
263,265,014,007
263,265,014,007
263,265,014,007
263,265,014,007
263,265,014,007
263,265,014,007
263,265,014,007
263,265,014,008
263,265,014,008
263,265,014,008
264,265,014,008
264,265,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
264,266,014,008
