Wild Fall Chinook,Hatchery Fall Chinook,Wild Sockeye,Wild Coho,Hatchery Coho
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,287,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,260,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,284
267,261,273,291,285
267,261,273,291,285
267,261,273,291,285
267,261,273,291,285
267,261,273,291,285
267,261,273,291,285
267,261,273,291,285
267,261,273,291,285
267,261,273,291,285
267,261,273,291,285
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,261,273,291,286
267,262,273,291,286
267,262,273,291,286
267,262,273,291,286
267,262,273,291,286
267,262,273,291,286
267,262,273,291,286
267,262,273,291,286
267,262,273,291,286
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,273,291,287
267,262,274,291,287
267,262,274,291,287
267,262,274,291,287
267,262,274,291,287
267,262,274,291,287
267,262,274,291,287
267,262,274,293,287
267,262,274,293,287
267,262,274,293,287
267,262,274,293,288
270,262,274,293,288
270,262,274,293,288
270,262,274,293,288
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,289
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,274,293,290
270,263,275,293,290
270,263,275,293,290
270,263,275,293,290
270,263,275,294,290
270,263,275,294,290
270,263,275,294,290
270,263,275,294,290
270,263,275,294,290
270,263,275,294,290
270,263,275,294,290
270,263,275,294,290
271,263,275,294,290
271,263,275,294,290
271,263,275,294,290
271,263,276,294,290
271,263,276,294,290
271,263,276,294,290
271,263,277,294,290
271,263,277,294,290
271,263,277,294,290
271,263,277,294,290
271,263,277,294,290
271,263,277,294,290
271,263,277,294,290
271,263,277,294,290
271,263,277,294,290
271,263,277,294,290
271,263,277,294,290
271,263,277,294,290
272,263,277,294,290
272,263,277,294,290
272,263,277,294,290
272,263,277,294,290
