Hatchery Sockeye,Unknown Sockeye,Wild Coho,Unknown Coho
189,,325,331
189,,325,331
189,,325,334
189,,325,334
189,,325,334
189,,326,334
189,,326,334
189,,326,334
189,,327,334
189,,327,
189,,327,
189,,327,
189,,327,
189,,327,
189,,328,
189,,328,
189,,328,
189,,328,
189,,329,
189,,330,
189,,330,
189,,330,
189,,332,
189,,332,
189,,332,
189,,332,
189,,333,
189,,333,
189,,334,
189,,334,
189,,334,
189,,334,
189,,334,
189,,334,
189,,334,
189,,335,
189,,335,
189,,336,
189,,336,
189,,337,
189,,338,
189,,338,
189,,338,
189,,338,
189,,338,
189,,339,
189,,340,
189,,341,
189,,342,
189,,342,
189,,342,
189,,342,
189,,342,
189,,342,
189,,342,
189,,342,
189,,342,
189,,342,
190,,342,
190,,343,
190,,343,
190,,343,
190,,343,
190,,343,
190,,343,
190,,343,
190,,343,
190,,343,
190,,343,
190,,344,
190,,344,
190,,345,
190,,346,
190,,346,
190,,346,
190,,346,
190,,348,
190,,349,
190,,349,
190,,349,
190,,349,
190,,349,
190,,349,
190,,349,
190,,349,
190,,349,
190,,350,
190,,350,
190,,350,
190,,350,
190,,351,
190,,351,
190,,351,
190,,351,
190,,351,
190,,351,
190,,352,
190,,352,
190,,352,
190,,352,
190,,352,
190,,353,
190,,353,
190,,355,
190,,356,
190,,358,
190,,360,
190,,362,
190,,363,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
190,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
191,,,
