Wild Fall Chinook,Hatchery Fall Chinook,Wild Summer Steelhead,Hatchery Summer Steelhead,Wild Type S Coho,Wild Type N Coho,Hatchery Type S Coho,Hatchery Type N Coho
249,245,241,236,269,287,272,285
249,245,241,236,269,287,272,285
249,245,241,236,269,287,272,285
249,245,241,236,269,287,272,285
249,245,241,236,269,287,272,285
249,245,241,236,269,287,272,285
249,245,241,236,269,287,272,285
249,245,241,237,269,287,272,285
249,245,242,237,269,287,272,285
249,245,242,237,270,287,272,285
249,245,242,237,270,287,272,285
250,245,242,237,270,287,272,285
250,245,242,237,270,287,272,285
250,245,242,238,270,287,272,285
250,245,242,238,270,287,272,285
250,245,243,238,270,287,272,285
250,245,243,238,270,287,272,285
250,246,243,238,271,287,272,285
250,246,243,238,271,287,272,285
250,246,243,238,271,287,272,285
250,246,243,238,271,287,272,285
250,246,243,238,271,287,272,285
250,246,244,239,271,287,272,285
250,246,244,239,271,287,272,285
250,246,244,239,271,287,272,285
250,246,244,239,271,287,272,285
250,246,244,239,271,287,272,286
250,246,245,239,271,288,273,286
250,246,245,239,271,288,273,286
250,246,245,240,271,288,273,286
250,246,245,240,271,288,273,286
250,246,246,240,271,288,273,286
250,246,246,240,271,288,273,286
251,246,246,240,271,289,273,286
251,246,246,240,271,289,273,286
251,246,246,240,271,289,273,286
251,246,246,240,271,289,273,286
251,246,246,240,271,289,273,286
251,246,247,240,271,289,273,286
251,246,247,241,271,289,273,286
251,246,247,241,272,289,273,286
251,246,247,241,272,290,273,286
251,246,247,241,272,290,273,286
251,246,247,241,272,290,273,286
251,246,247,241,272,290,273,286
251,246,247,241,272,290,273,286
251,246,247,241,272,290,273,286
251,247,248,241,272,290,273,286
251,247,248,241,272,290,273,286
251,247,248,241,272,290,273,286
251,247,248,241,272,290,273,286
251,247,248,242,272,290,274,286
251,247,249,242,272,290,274,286
251,247,249,242,272,290,274,286
251,247,249,242,273,290,274,286
251,247,250,242,273,294,274,286
251,247,250,242,273,294,274,286
251,247,250,242,273,294,274,286
251,247,251,242,273,294,274,286
251,247,251,242,273,294,274,286
251,247,251,243,273,294,274,286
251,247,252,243,273,294,274,286
251,247,252,243,273,294,274,286
251,247,252,243,273,294,275,286
251,247,253,243,273,294,275,286
251,247,253,243,273,294,275,286
251,247,253,244,273,294,275,286
251,247,253,244,273,294,275,286
251,247,253,244,273,294,275,286
251,247,254,244,273,294,275,286
251,247,254,244,273,294,275,286
251,247,254,244,273,294,276,286
251,247,254,245,273,294,276,286
251,247,255,245,273,294,276,286
252,247,255,245,273,294,276,286
252,247,255,245,273,294,276,286
252,247,255,246,273,294,276,286
252,247,256,246,273,294,276,287
252,247,256,246,273,294,276,287
252,247,256,246,273,294,276,287
252,247,256,247,273,294,276,287
252,247,257,247,273,294,276,287
252,248,257,247,274,294,276,287
252,248,257,247,274,294,276,287
252,248,257,247,274,294,276,287
252,248,258,248,274,294,277,287
252,248,259,248,274,294,277,287
252,248,260,248,274,294,277,287
252,248,260,248,274,296,277,287
252,248,260,248,274,296,277,287
252,248,260,249,274,296,277,287
252,248,261,249,274,296,277,287
252,248,262,249,274,296,277,287
252,248,262,249,275,,277,287
252,248,262,250,275,,277,287
252,248,263,250,275,,277,287
252,248,263,250,275,,277,287
252,248,263,250,275,,277,287
252,248,264,250,276,,277,287
252,248,264,251,276,,277,287
252,248,265,251,276,,277,287
252,248,265,251,276,,277,287
252,248,265,251,276,,277,287
252,248,266,252,276,,277,287
252,248,266,252,276,,277,287
252,248,266,252,277,,277,287
252,248,266,252,277,,277,287
253,248,266,252,277,,277,287
253,248,266,253,277,,277,287
253,248,267,253,277,,277,287
253,248,267,253,277,,277,287
253,248,268,253,277,,277,287
253,248,268,254,277,,278,287
253,248,268,254,278,,278,287
253,248,270,254,278,,278,287
253,248,271,254,278,,278,287
253,248,271,255,278,,278,288
253,248,272,255,278,,278,288
253,248,272,255,279,,278,288
253,248,272,256,279,,278,288
253,248,272,256,279,,278,288
253,248,273,256,279,,278,288
253,248,274,256,279,,278,288
253,248,275,257,279,,278,288
253,249,276,257,279,,278,288
253,249,276,257,279,,278,288
253,249,276,257,279,,279,288
253,249,276,258,280,,279,288
253,249,277,258,280,,279,289
253,249,277,260,280,,280,289
253,249,277,260,280,,280,289
253,249,277,261,280,,280,289
253,249,277,262,280,,280,289
253,249,277,262,280,,280,289
254,249,278,263,280,,280,289
254,249,278,263,280,,280,289
254,249,278,264,281,,280,289
254,249,279,264,281,,280,289
254,249,280,264,281,,280,289
254,249,280,265,281,,281,289
254,249,280,265,282,,281,289
254,249,280,266,282,,281,289
254,249,280,267,282,,281,290
254,249,281,268,282,,281,290
254,249,281,268,282,,281,290
254,249,281,269,282,,281,290
254,249,281,270,283,,282,290
254,249,281,271,283,,282,290
254,249,281,271,283,,282,290
254,249,281,271,283,,282,290
254,249,281,272,283,,282,290
254,249,281,272,283,,282,290
254,249,282,272,283,,282,290
254,249,282,273,284,,282,290
255,249,283,274,284,,282,290
255,249,283,275,284,,282,290
255,249,283,276,284,,282,290
255,249,283,276,284,,282,291
255,249,283,277,284,,282,291
255,249,284,277,284,,282,291
255,249,285,278,284,,282,291
255,249,285,278,284,,283,291
255,249,286,279,284,,283,291
255,249,286,280,284,,283,291
255,249,286,280,284,,283,293
255,250,286,280,284,,284,294
255,250,286,281,284,,284,294
255,250,286,281,284,,284,294
255,250,286,281,285,,284,294
255,250,287,281,285,,284,294
255,250,287,281,285,,284,294
