Wild Fall Chinook,Hatchery Fall Chinook,Unknown Fall Chinook,Unknown Summer Steelhead,Wild Type S Coho,Hatchery Type S Coho
300,271,303,278,323,309
300,271,303,278,323,309
300,271,303,278,323,309
300,271,303,278,323,309
300,271,303,278,323,309
300,271,304,278,323,309
300,271,304,278,326,309
300,271,304,278,326,309
300,271,304,278,326,309
300,272,304,278,326,310
301,272,304,281,326,310
301,272,306,281,328,310
301,272,306,281,328,310
301,272,306,281,330,310
301,272,308,281,330,310
301,272,340,281,332,310
301,272,340,281,332,310
301,272,,281,332,310
301,272,,281,332,310
301,272,,281,332,310
301,272,,281,332,310
302,272,,281,332,310
302,272,,294,,310
302,272,,294,,310
302,272,,294,,311
302,272,,294,,311
303,272,,294,,311
303,272,,294,,311
303,272,,294,,311
303,272,,294,,311
303,272,,294,,311
303,272,,294,,311
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,312
303,273,,294,,313
303,273,,294,,313
303,273,,294,,313
303,273,,294,,313
303,273,,294,,313
303,273,,294,,313
303,273,,294,,313
303,273,,294,,313
304,273,,294,,313
304,273,,294,,313
304,273,,294,,313
304,273,,294,,313
304,273,,294,,313
304,273,,294,,313
304,273,,294,,313
304,273,,294,,313
304,273,,294,,313
304,273,,294,,313
304,273,,294,,313
304,274,,294,,313
304,274,,294,,313
304,274,,294,,313
304,274,,294,,313
304,274,,294,,313
304,274,,294,,313
304,274,,294,,313
304,274,,294,,313
304,274,,294,,313
304,274,,294,,313
304,274,,294,,313
304,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,294,,313
305,274,,297,,313
305,274,,297,,313
305,274,,297,,313
306,274,,297,,313
306,274,,297,,313
306,274,,297,,313
306,274,,297,,313
308,274,,297,,313
308,274,,297,,313
308,274,,297,,313
308,274,,297,,313
308,274,,297,,313
308,274,,297,,313
308,274,,297,,313
308,274,,297,,313
308,274,,297,,313
308,274,,297,,313
309,274,,297,,313
309,274,,297,,313
309,274,,297,,313
310,274,,297,,313
310,274,,297,,313
310,274,,297,,313
310,275,,297,,314
310,275,,297,,314
311,275,,297,,314
311,275,,297,,314
311,275,,297,,314
314,275,,297,,314
314,275,,297,,315
319,275,,297,,315
335,275,,297,,315
,275,,297,,315
,275,,301,,315
,275,,301,,315
,275,,301,,315
,275,,301,,315
,275,,301,,315
,275,,301,,315
,275,,301,,317
,275,,301,,317
,275,,301,,317
,275,,301,,317
,275,,301,,317
,275,,301,,317
,275,,301,,317
,275,,301,,317
,275,,301,,317
,275,,301,,317
,275,,301,,317
,275,,301,,317
,275,,302,,317
,275,,302,,317
,275,,302,,317
,275,,302,,317
,275,,302,,317
,275,,302,,317
,275,,302,,317
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,302,,318
,275,,312,,320
,275,,312,,320
,275,,312,,320
,275,,312,,320
,276,,312,,320
,276,,314,,320
,276,,314,,320
,276,,314,,320
,276,,314,,320
,276,,314,,320
,276,,314,,320
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,321
,276,,314,,323
,276,,314,,323
,276,,314,,323
,276,,314,,323
,276,,314,,323
,276,,314,,323
,276,,314,,332
,276,,314,,332
,276,,314,,332
,276,,314,,332
,276,,314,,332
