Wild Fall Chinook,Hatchery Fall Chinook,Hatchery Winter Steelhead,Wild Coho,Hatchery Coho,Wild Pink
273,255,023,304,285,
273,255,023,304,285,
273,255,023,304,285,
273,255,023,304,285,
273,255,023,304,285,
273,255,023,304,285,
273,255,023,304,285,
273,255,024,304,285,
273,255,025,304,285,
273,255,025,304,285,
273,255,025,304,285,
273,255,025,304,285,
273,255,025,304,285,
273,255,025,304,285,
273,255,025,304,285,
273,256,025,304,285,
273,256,025,304,285,
273,256,025,304,285,
273,256,025,304,285,
273,256,026,304,285,
273,256,026,304,285,
273,256,026,304,285,
274,256,026,304,285,
274,256,026,304,285,
274,256,026,304,285,
274,256,026,304,285,
274,256,026,304,285,
274,256,026,304,285,
274,256,027,304,285,
274,256,027,304,285,
274,256,027,304,285,
274,256,027,304,285,
274,256,027,304,285,
274,256,027,304,285,
274,256,027,304,285,
274,256,027,304,285,
274,256,027,304,285,
274,256,028,304,285,
274,256,028,304,285,
274,256,028,304,285,
274,256,028,304,285,
274,256,028,304,285,
274,256,028,304,285,
274,256,028,304,285,
274,256,028,304,285,
274,256,028,304,285,
274,256,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,028,304,285,
274,257,030,304,285,
274,257,030,304,285,
274,257,030,304,285,
274,257,030,304,285,
274,257,030,304,285,
274,257,030,304,285,
274,257,030,304,285,
274,257,030,304,285,
274,257,030,304,285,
274,258,030,304,285,
274,258,030,304,285,
274,258,030,304,285,
274,258,030,304,285,
274,258,030,304,285,
274,258,030,304,285,
274,258,030,304,285,
274,258,030,305,285,
274,258,030,305,285,
274,258,030,305,285,
274,258,030,305,285,
274,258,030,305,285,
274,258,030,305,285,
274,258,030,305,285,
274,258,030,305,285,
274,258,030,305,285,
274,258,030,305,285,
274,258,030,305,285,
276,258,030,305,285,
276,258,031,305,285,
276,258,031,305,285,
276,258,031,305,285,
276,258,031,305,285,
276,258,031,305,285,
276,258,031,305,285,
276,258,031,305,285,
276,258,031,305,285,
276,258,031,305,285,
276,258,031,305,285,
276,258,031,306,285,
276,258,031,306,285,
276,258,031,306,286,
276,258,031,306,286,
276,258,031,306,286,
276,258,032,306,286,
276,258,032,306,286,
276,258,032,306,286,
276,258,032,306,286,
276,258,032,306,286,
276,258,032,306,286,
276,258,032,306,286,
276,258,032,306,286,
276,258,032,306,286,
276,258,032,306,286,
276,258,032,306,286,
276,258,032,306,286,
