Wild Fall Chinook,Hatchery Fall Chinook,Wild Winter Steelhead,Wild Winter-Late Steelhead,Hatchery Winter Steelhead,Wild Coho,Wild Late Coho,Hatchery Coho,Hatchery Late Coho,Hatchery Chum,Unknown Chum
284,273,012,044,004,297,004,275,004,313,317
284,273,012,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,275,004,313,317
284,273,013,044,004,297,004,276,004,313,317
284,273,013,044,004,297,004,276,004,313,317
284,273,013,044,004,297,004,276,004,313,317
284,273,013,044,004,297,004,276,004,313,317
284,273,013,044,004,297,004,276,004,313,317
284,273,013,044,005,297,004,276,004,313,317
284,273,013,044,005,297,004,276,004,314,317
284,273,013,045,005,297,004,276,004,314,317
284,273,013,045,005,297,004,276,004,314,317
284,273,013,045,005,297,004,276,004,314,317
284,273,013,045,005,297,004,276,004,314,318
284,273,013,045,005,297,004,276,004,314,318
284,273,013,045,005,297,004,276,004,314,318
284,273,013,045,005,297,004,276,004,314,318
284,273,013,045,005,297,004,276,004,314,318
284,273,013,045,005,297,004,276,004,314,318
284,273,013,045,005,297,004,276,004,314,318
284,273,013,045,005,297,004,276,004,314,318
284,273,013,045,005,297,004,276,004,314,318
284,273,013,045,005,297,004,276,004,314,318
284,274,013,045,005,297,004,276,004,314,318
284,274,013,045,005,297,004,276,004,314,318
284,274,013,045,005,297,004,276,004,314,318
284,274,013,045,005,297,004,276,004,314,318
284,274,013,046,005,297,004,276,004,314,318
284,274,013,046,005,297,004,276,004,314,318
284,274,013,046,005,297,004,276,004,314,318
284,274,013,046,005,297,004,276,004,314,318
284,274,013,046,005,297,004,276,004,314,318
284,274,013,046,005,297,004,276,004,314,318
284,274,013,046,005,297,004,276,004,314,318
284,274,013,046,005,297,004,276,004,314,318
284,274,013,046,005,297,004,276,004,314,318
284,274,013,046,005,298,004,276,004,314,318
284,274,013,046,005,298,004,277,004,314,318
284,274,013,046,005,298,004,277,004,314,318
284,274,013,046,005,298,004,277,004,314,318
284,274,013,046,005,298,004,277,004,314,318
284,274,013,046,005,298,004,277,004,314,319
284,274,013,046,005,298,004,277,004,314,319
284,274,013,046,005,298,004,277,004,314,319
284,274,013,046,005,298,004,277,004,314,319
284,274,013,046,005,298,005,277,004,314,319
284,274,013,046,005,298,005,277,004,314,319
284,274,013,046,005,298,005,277,004,314,319
284,274,013,046,005,298,005,277,004,315,319
284,274,013,046,005,298,005,277,004,315,319
284,274,013,046,005,298,005,277,004,315,319
284,274,013,046,005,298,005,277,004,315,319
284,274,013,046,005,298,005,277,004,315,319
285,274,013,046,005,298,005,277,005,315,319
285,274,013,046,005,298,005,277,005,315,319
285,274,013,046,005,298,005,277,005,315,319
285,274,013,046,005,298,005,277,005,315,319
285,274,013,046,005,298,005,277,005,315,319
285,274,013,046,005,298,005,277,005,315,320
285,274,013,046,005,298,005,277,005,315,320
285,274,013,046,005,298,005,277,005,315,320
285,275,013,046,005,298,005,277,005,315,320
285,275,013,046,005,298,005,277,005,315,320
285,275,015,046,005,298,005,277,005,315,320
285,275,015,046,005,298,005,277,005,315,320
285,275,015,046,005,298,005,277,005,315,320
285,275,015,046,005,298,005,277,005,315,320
285,275,015,046,005,298,005,277,005,315,320
285,275,015,046,005,298,005,277,005,315,320
285,275,015,046,005,298,005,277,005,315,320
285,275,015,046,005,298,005,277,005,315,320
285,275,015,046,005,298,005,278,005,315,320
286,275,015,046,005,298,005,278,005,315,320
