Hatchery Fall Chinook,Hatchery Coho,Unknown Coho,Hatchery Chum,Hatchery Fall Chum,Unknown Chum,Hatchery Pink,Unknown Odd Year Pink
222,252,255,271,306,302,199,210
222,252,255,271,306,302,199,212
222,252,255,271,307,302,199,212
222,252,255,271,307,302,199,212
222,252,255,271,307,302,200,212
222,252,255,271,307,302,200,212
222,252,255,271,308,302,200,212
222,252,255,271,308,302,200,212
222,252,255,271,308,302,200,212
222,252,255,271,308,302,200,213
222,252,255,271,308,302,200,213
222,252,255,271,308,302,200,213
222,252,255,271,308,302,200,213
222,253,255,271,308,302,200,213
222,253,255,271,308,302,200,213
222,254,255,271,308,302,200,213
222,257,255,271,308,302,200,213
222,257,257,271,308,302,200,213
222,257,257,271,308,302,200,213
223,257,257,271,309,303,200,213
223,257,257,271,309,303,200,213
223,257,257,271,309,303,200,213
223,257,257,271,309,303,200,214
223,257,257,271,309,303,200,214
223,257,257,271,309,303,200,214
223,257,257,271,309,303,200,214
223,257,257,271,309,303,200,214
223,259,257,271,309,303,200,214
223,259,257,271,309,304,200,214
223,259,257,271,309,304,200,214
223,259,257,271,309,304,200,214
223,259,257,271,309,304,200,214
223,259,257,271,309,304,200,214
223,259,257,271,309,304,200,214
223,259,257,271,309,305,200,214
224,259,257,271,309,305,200,214
224,259,257,271,309,305,200,214
224,259,257,271,309,306,201,214
224,259,257,271,310,306,201,214
224,259,257,283,310,307,201,214
224,259,257,287,310,307,201,214
224,259,257,288,310,307,201,214
224,259,257,288,310,307,201,214
224,259,257,289,310,307,201,215
224,259,257,290,310,307,201,215
224,259,257,290,310,307,201,215
224,259,257,291,311,307,201,215
225,259,257,291,311,307,201,215
225,259,257,291,312,307,201,215
225,259,257,291,312,307,201,215
225,259,257,291,312,307,201,215
225,259,257,292,312,307,201,215
225,259,257,293,312,307,201,215
225,259,257,293,312,307,201,215
225,259,257,293,312,308,201,215
225,259,257,293,312,308,201,215
225,259,257,293,312,308,201,215
225,261,257,294,312,308,201,215
225,261,257,294,312,308,201,215
225,261,257,294,312,308,201,215
225,261,257,294,312,308,201,215
225,261,257,294,312,308,201,215
225,261,257,295,312,308,201,215
225,261,257,295,313,308,201,215
225,261,257,295,313,309,202,215
225,261,257,295,313,309,202,215
225,261,257,295,313,309,202,215
225,261,257,295,313,309,202,216
225,261,257,296,313,309,202,216
225,261,257,296,313,309,202,216
225,261,257,296,313,309,203,216
225,261,261,296,313,309,203,216
225,261,261,296,313,309,203,216
225,261,261,296,313,309,203,217
225,261,261,296,313,309,203,217
225,261,261,296,313,309,203,217
225,261,261,296,313,309,203,217
225,261,261,296,313,309,203,218
225,262,261,296,313,309,203,218
225,262,261,297,313,309,203,218
225,262,261,297,313,309,203,218
225,262,261,297,313,309,203,218
225,262,261,297,313,309,203,218
225,262,261,297,313,310,203,218
225,262,261,297,313,310,203,218
225,262,261,297,313,310,203,218
225,262,261,297,313,310,203,218
225,262,261,297,313,310,203,218
225,262,261,297,313,310,203,219
225,262,261,297,313,310,203,219
225,262,261,297,313,310,203,219
225,262,261,297,313,310,203,219
225,262,261,298,313,310,203,219
225,262,261,298,313,310,203,219
225,263,261,298,313,310,203,219
225,263,261,298,314,310,204,219
225,263,261,298,314,310,204,219
225,263,261,298,314,310,204,219
225,263,261,298,314,311,204,219
225,263,261,298,314,311,204,220
225,263,261,299,314,311,204,220
225,263,261,299,314,311,204,221
225,263,261,299,314,311,204,221
225,263,261,299,314,311,204,222
225,263,261,299,314,311,204,222
226,263,261,299,314,311,204,222
226,263,261,299,314,311,204,222
226,263,261,299,314,311,204,223
226,263,261,299,314,311,205,223
226,263,261,299,314,312,205,224
226,263,261,299,314,312,205,224
226,263,261,299,314,312,205,224
226,263,261,299,314,312,205,224
226,263,261,299,315,313,205,224
227,263,261,299,315,313,205,224
227,263,261,299,315,313,205,224
227,263,261,299,315,313,205,224
227,263,261,299,315,313,205,225
227,263,261,299,315,313,205,225
227,264,261,299,315,313,205,225
227,264,261,299,315,313,205,225
227,264,261,299,316,313,205,225
227,264,261,299,316,313,205,225
227,264,261,299,316,313,205,225
227,264,261,299,316,313,205,225
227,264,261,299,316,313,205,225
228,264,261,299,316,313,206,225
228,264,261,299,316,313,206,225
228,264,261,299,316,313,206,225
228,264,261,299,316,313,206,225
228,264,261,300,316,314,206,226
228,264,261,300,316,314,206,228
228,264,261,300,316,314,206,229
