Hatchery Spring Chinook,Hatchery Fall Chinook,Hatchery Summer Steelhead,Hatchery Type S Coho
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,321
,311,296,325
,311,296,325
,311,296,325
,311,296,325
,311,296,325
,311,296,325
,311,296,325
,311,296,325
,311,296,325
,311,297,325
,311,297,325
,311,297,325
,311,297,325
,311,297,326
,311,297,326
,311,297,326
,311,297,326
,311,297,326
,312,297,326
,312,297,326
,312,297,326
,312,297,326
,312,297,326
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,328
,312,297,329
,312,298,329
,312,298,329
,312,298,329
,312,298,332
,312,298,332
,312,298,332
,312,298,332
,312,298,332
,312,298,332
,312,298,332
,312,298,332
,312,298,332
,312,298,335
,312,298,335
,312,298,335
,312,298,335
,312,298,335
,312,298,335
,312,298,339
,312,298,339
,312,298,339
,312,298,340
,312,298,340
,312,298,340
,312,298,340
,312,298,340
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,312,298,
,313,298,
,313,298,
,313,298,
,313,298,
,313,298,
,313,298,
,313,298,
,313,298,
,313,298,
,313,298,
,313,298,
,313,298,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,313,299,
,314,299,
,314,299,
,314,299,
,314,299,
,314,299,
,314,299,
,314,299,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,300,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,314,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,301,
,315,303,
,315,303,
,315,303,
,315,303,
,315,303,
,315,303,
,315,303,
,315,303,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,315,304,
,316,304,
,316,304,
,316,304,
,316,304,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,316,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,305,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,306,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,307,
,317,308,
,317,308,
,317,308,
,317,308,
,318,308,
,318,308,
,318,308,
,318,309,
,318,309,
,318,309,
,318,309,
,318,309,
,318,309,
,318,309,
,319,309,
,319,309,
,319,309,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,310,
,319,311,
,319,311,
,319,311,
,319,311,
,319,311,
,319,311,
,319,311,
,319,311,
,319,311,
,319,311,
,319,311,
,319,311,
,319,311,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,319,312,
,320,312,
,320,312,
,320,312,
,320,313,
,320,313,
,320,313,
,320,313,
,320,313,
,320,313,
,320,313,
,320,313,
,320,313,
,320,313,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
,320,314,
