Hatchery Spring Chinook,Hatchery Fall Chinook,Wild Coho,Hatchery Coho,Hatchery Chum,Unknown Chum,Wild Pink,Hatchery Pink
175,226,278,266,323,331,256,279
176,226,278,266,323,331,256,279
176,226,278,266,324,332,256,279
176,226,278,266,324,332,256,280
176,226,278,266,324,332,256,280
176,226,278,266,324,332,256,280
176,226,278,266,324,332,256,280
176,227,278,266,324,332,256,280
176,227,278,266,324,332,256,280
176,227,278,266,324,332,256,280
176,227,278,266,324,332,256,280
176,227,278,266,324,332,256,280
176,227,278,266,324,332,256,280
177,227,278,266,324,332,257,280
177,227,278,266,324,332,257,280
177,227,278,266,324,332,257,280
177,227,278,266,324,332,257,280
178,227,278,266,324,332,257,280
178,227,278,266,324,332,257,280
178,227,278,266,324,332,257,280
178,227,278,266,324,332,257,280
179,227,278,266,324,332,257,280
179,227,278,266,324,332,257,281
179,227,278,266,324,332,257,281
179,227,278,266,324,333,257,281
179,227,278,266,324,333,257,281
179,227,278,266,324,333,257,281
179,227,278,266,324,333,257,281
180,227,278,266,324,333,257,281
180,227,278,266,324,333,257,281
180,227,278,266,324,333,257,281
180,227,278,266,324,333,257,281
180,227,278,266,324,333,257,281
180,227,278,266,324,333,258,281
180,227,278,266,324,333,258,283
180,227,278,266,324,333,258,283
180,227,278,266,324,333,258,284
180,227,278,267,324,333,258,284
180,227,278,267,324,333,258,284
180,227,278,267,324,333,258,284
180,227,278,267,324,333,258,284
180,227,278,267,324,333,258,284
180,227,278,267,324,334,258,284
180,227,278,267,324,334,258,284
181,227,278,267,324,334,258,285
181,227,279,267,324,334,258,285
181,228,279,267,324,334,258,286
181,228,279,267,324,334,258,286
181,228,279,267,324,334,258,286
181,228,279,267,324,334,258,286
181,228,279,267,324,334,258,289
181,228,280,267,324,334,258,289
181,228,280,267,324,334,258,289
181,228,280,267,324,334,258,289
181,228,280,267,324,334,258,295
181,228,280,267,324,334,258,295
181,228,280,267,325,335,258,
181,228,280,267,325,335,258,
181,228,280,267,325,335,258,
181,228,280,267,325,335,258,
181,228,280,267,325,335,259,
181,228,280,267,325,335,259,
181,228,280,267,325,335,259,
181,228,280,267,325,335,259,
181,228,280,267,325,335,259,
181,228,280,267,325,335,259,
181,228,280,267,325,335,259,
181,228,280,268,325,335,259,
181,228,280,268,325,335,259,
181,228,280,268,325,335,259,
181,228,280,268,325,335,259,
181,228,280,268,325,335,259,
181,228,280,268,325,335,259,
181,228,280,268,325,335,259,
181,228,280,268,325,335,259,
182,228,280,268,325,335,259,
182,228,280,268,325,335,259,
182,228,280,268,325,335,259,
182,228,280,268,325,335,259,
182,228,281,268,325,335,259,
182,228,281,268,325,335,259,
182,228,281,268,325,335,259,
183,228,281,268,325,335,259,
183,228,281,268,325,335,259,
183,228,282,268,325,335,259,
183,228,282,268,325,335,259,
183,228,282,268,325,336,259,
183,228,282,268,325,337,259,
184,228,282,268,325,337,259,
184,228,282,268,325,337,260,
184,228,282,268,325,337,260,
184,229,282,268,325,337,260,
184,229,282,268,325,337,260,
184,229,282,268,325,337,260,
184,229,282,268,325,337,260,
184,229,282,268,325,337,260,
184,229,282,268,325,337,260,
184,229,282,268,325,337,260,
185,229,282,268,325,337,260,
185,229,282,268,325,337,261,
185,229,282,268,325,337,261,
185,229,282,268,325,337,261,
185,229,282,268,325,337,261,
185,229,282,268,325,338,261,
186,229,282,268,325,338,261,
186,229,282,268,325,338,261,
186,229,282,268,325,338,262,
186,229,282,268,325,338,262,
186,229,282,268,325,338,262,
186,229,282,268,325,338,262,
186,229,282,268,325,338,262,
186,229,282,268,325,338,262,
187,229,282,268,325,339,262,
187,229,282,268,325,339,262,
187,229,282,269,325,340,262,
187,229,282,269,325,340,262,
187,229,282,269,325,340,262,
187,229,282,269,325,340,262,
187,229,282,269,325,340,262,
187,229,282,269,325,340,262,
187,229,283,269,325,341,262,
187,229,283,269,325,341,262,
187,229,283,269,325,341,262,
187,229,283,269,325,341,262,
188,229,283,269,325,341,263,
188,229,283,269,325,341,263,
188,229,283,269,325,341,263,
188,229,283,269,325,341,264,
188,229,283,269,325,342,264,
188,229,283,269,325,342,264,
188,229,283,269,325,342,264,
188,229,283,269,325,342,264,
188,229,283,269,325,342,264,
188,229,283,269,325,342,264,
189,229,283,269,325,342,264,
189,229,283,269,325,342,264,
189,229,283,269,325,343,264,
189,229,283,269,325,343,264,
189,229,283,269,325,343,264,
